origin_airport_icao,origin_airport_iata,origin_airport_name,origin_city,region,country_code,origin_lat,origin_long,timezone,destination_airport_icao,destination_airport_iata,destination_airport_name,destination_airport_shortName,destination_airport_municipalityName,dest_lat,dest_long,destination_airport_countryCode,daily_flights,flight_time
EGCC,MAN,Manchester Airport,Manchester,England,GB,53.35369873,-2.274950028,Europe/London,GMAD,AGA,Al Massira,Agadir,Al Massira,30.325,-9.413069,MA,1.29,03:50:00
EGCC,MAN,Manchester Airport,Manchester,England,GB,53.35369873,-2.274950028,Europe/London,LPMA,FNC,Madeira,Funchal,Madeira,32.6979,-16.7745,PT,1.29,04:00:00
EGCC,MAN,Manchester Airport,Manchester,England,GB,53.35369873,-2.274950028,Europe/London,LEPA,PMI,Palma De Mallorca,Palma De Mallorca,Palma De Mallorca,39.5517,2.73881,ES,1.29,02:45:00
EGCC,MAN,Manchester Airport,Manchester,England,GB,53.35369873,-2.274950028,Europe/London,LGAV,ATH,Eleftherios Venizelos,Athens,Eleftherios Venizelos,37.9364,23.944498,GR,1.14,03:50:00
EGCC,MAN,Manchester Airport,Manchester,England,GB,53.35369873,-2.274950028,Europe/London,LMML,MLA,Malta,Luqa,Malta,35.8575,14.4775,MT,1.14,03:30:00
EGCC,MAN,Manchester Airport,Manchester,England,GB,53.35369873,-2.274950028,Europe/London,LCPH,PFO,Paphos,Paphos,Paphos,34.718,32.4857,CY,1.14,04:45:00
EGCC,MAN,Manchester Airport,Manchester,England,GB,53.35369873,-2.274950028,Europe/London,LBSF,SOF,Sofia,Sofia,Sofia,42.696693,23.411436,BG,1.14,03:20:00
EGCC,MAN,Manchester Airport,Manchester,England,GB,53.35369873,-2.274950028,Europe/London,HEGN,HRG,Hurghada,Hurghada,Hurghada,27.1783,33.7994,EG,1,05:30:00
EGCC,MAN,Manchester Airport,Manchester,England,GB,53.35369873,-2.274950028,Europe/London,LOWI,INN,Innsbruck,Innsbruck,Innsbruck,47.2602,11.343999,AT,1,02:15:00
EGCC,MAN,Manchester Airport,Manchester,England,GB,53.35369873,-2.274950028,Europe/London,HESH,SSH,Sharm el Sheikh,Sharm el Sheikh,Sharm el Sheikh,27.9773,34.395,EG,1,05:40:00
