origin_airport;destination_airport_icao;destination_airport_iata;destination_airport_name;destination_airport_shortName;destination_airport_municipalityName;destination_airport_location;destination_airport_countryCode;daily_flights;0;1;2;3;4;5;6;7;8;9
EGCC;EPKK;KRK;John Paul II   Krakï¿½w-Balice, Krakï¿½w;John Paul II   -Balice;Krakï¿½w;{'lat': 50.0777, 'lon': 19.7848};PL;1.71;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;GMMX;RAK;Menara, Marrakech;Menara;Marrakech;{'lat': 31.6069, 'lon': -8.036299};MA;1.43;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;GMAD;AGA;Al Massira, Agadir;Al Massira;Agadir;{'lat': 30.325, 'lon': -9.413069};MA;1.29;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;LPMA;FNC;Madeira, Funchal;Madeira;Funchal;{'lat': 32.6979, 'lon': -16.7745};PT;1.29;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;LEPA;PMI;Palma De Mallorca, Palma De Mallorca;Palma De Mallorca;LEPA;{'lat': 39.5517, 'lon': 2.73881};ES;1.29;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;LGAV;ATH;Eleftherios Venizelos, Athens;Eleftherios Venizelos;Athens;{'lat': 37.9364, 'lon': 23.944498};GR;1.14;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;LMML;MLA;Malta, Luqa;Malta;Luqa;{'lat': 35.8575, 'lon': 14.4775};MT;1.14;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;LCPH;PFO;Paphos, Paphos;Paphos;LCPH;{'lat': 34.718, 'lon': 32.4857};CY;1.14;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;LBSF;SOF;Sofia, Sofia;Sofia;LBSF;{'lat': 42.696693, 'lon': 23.411436};BG;1.14;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;HEGN;HRG;Hurghada, Hurghada;Hurghada;HEGN;{'lat': 27.1783, 'lon': 33.7994};EG;1.0;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;LOWI;INN;Innsbruck, Innsbruck;Innsbruck;LOWI;{'lat': 47.2602, 'lon': 11.343999};AT;1.0;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
EGCC;HESH;SSH;Sharm el Sheikh, Sharm el Sheikh;Sharm el Sheikh;HESH;{'lat': 27.9773, 'lon': 34.395};EG;1.0;EGCC;MAN;Manchester Airport;Manchester;England;GB;53.3536987305;-2.2749500275;Europe/London;
